Name,WSM6_NSE,WDM6_NSE,Thompson_NSE,Morrison_NSE
Atlanta Summit (306),0.6204394725469096,0.6216948618533639,0.7805692003793574,0.8815466064873712
Banner Summit (312),0.630302426996687,0.6159467956648366,0.680852842312732,0.6740666248902266
Bear Canyon (320),0.8557820079547964,0.7978168589205981,0.8371620756428968,0.8394329046576281
Bogus Basin (978),0.8805027216868351,0.9018356392963353,-0.17186563736075455,-0.06886187739794236
Camas Creek Divide (382),0.8186881441187415,0.8093715731401641,0.4995285307666668,0.5418543540187517
Chocolate Gulch (895),0.6788203291648434,0.6868254682389798,0.8111979917671871,0.7573009934653548
Cozy Cove (423),0.8649380830103848,0.8899868438177289,0.7394566124486845,0.7531965915153094
Dollarhide Summit (450),0.8400034354347612,0.8263058300327685,0.7337176438567765,0.6741526421268886
Galena (489),0.776838884947705,0.7708000016315436,0.8600628923976226,0.8557188166656532
Galena Summit (490),0.7957604141206632,0.8066851088340403,0.7725747852189568,0.8050248006789439
Garfield R.S. (492),0.9474154671128134,0.9447652576352467,0.8954929810965309,0.8893896141710895
Graham Guard Sta. (496),0.9812481547047458,0.9793239127568113,0.7946676604933733,0.8678580175180405
Hyndman (537),0.845310001453417,0.8038507455129976,0.904905042240995,0.8787404832856266
Jackson Peak (550),0.8755968016976531,0.8476249425582337,0.534445795038488,0.6769916103553988
Lost-Wood Divide (601),0.7569085031439241,0.8045042156967713,0.7912151116187836,0.7430301415936488
Mores Creek Summit (637),0.6800382328946614,0.63165375030747,0.5214915370829335,0.5438426570481081
Prairie (704),0.6624253806732302,0.6662485538757688,0.2750582671259547,0.41532350513974703
Smiley Mountain (926),0.8603986679250661,0.9451855274465605,0.6894201489839662,0.8540261270892796
Soldier R.S. (769),0.7991399186096322,0.7959419694317922,0.7234937378579929,0.7163877948880015
Stickney Mill (792),0.7758180087418969,0.7592168651996041,0.5542525379089174,0.7363129167490884
Swede Peak (805),0.865141944177795,0.8073245048694253,0.9012674312770961,0.901806275394735
Trinity Mtn. (830),0.4920037116939673,0.5360516027209895,0.7527789516566284,0.7322324022556924
Vienna Mine (845),0.9752454920533011,0.9760669056283309,0.8373622705538508,0.8987609063507153
